title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Suzuki Alto 1991,295000,Charsadda,1991,200000,Not Available,Not Available,Lahore,Red,Local,660,2024-05-04,Low,High,Saturday,33
Suzuki Cultus VXR (CNG) 2003,790000,Kamra,2003,69869,Petrol,Not Available,Lahore,Solid White,Local,1000,2024-05-04,Low,Medium,Saturday,21
MG HS 2023,7650000,Lahore,2023,16500,Petrol,Automatic,Punjab,Black,Imported,1500,2024-05-04,High,Low,Saturday,1
Toyota C-HR S-LED 2017,7450000,Rawalpindi,2017,110000,Hybrid,Automatic,Islamabad,Silver Metallic,Imported,1800,2024-05-04,High,High,Saturday,7
Toyota Corolla Altis CVT-i 1.8 2015,3565000,Karachi,2015,87000,Petrol,Automatic,Sindh,Dorado Gold,Local,1800,2024-05-04,Medium,Medium,Saturday,9
Toyota Vitz F 1.0 2000,1600000,Swabi,2000,85000,Petrol,Automatic,Islamabad,Pink,Imported,1000,2024-05-04,Low,Medium,Saturday,24
Honda Vezel Hybrid Z 2018,6900000,Daska,2018,100000,Hybrid,Automatic,Un-Registered,White,Imported,1500,2024-05-04,High,Medium,Saturday,6
Toyota Corolla GLi 1.3 VVTi 2009,2120000,Lahore,2009,169146,Petrol,Not Available,Karachi,Gold,Local,1300,2024-05-04,Low,High,Saturday,15
Nissan Sunny 1987,650000,Rawalpindi,1999,100000,Not Available,Not Available,Sindh,White,Imported,1600,2024-05-04,Low,Medium,Saturday,25
Nissan Note 1.2E 2020,5575000,Lahore,2020,55000,Hybrid,Automatic,Un-Registered,Brilliant White Pearl,Imported,1198,2024-05-04,High,Medium,Saturday,4
Honda Accord EX 1993,1230000,Faisalabad,1993,100000,Petrol,Automatic,Karachi,Blue,Imported,1500,2024-05-04,Low,Medium,Saturday,31
Toyota Aqua S 2017,3650000,Lahore,2017,140000,Hybrid,Automatic,Islamabad,Silver,Imported,1500,2024-05-04,Medium,High,Saturday,7
Honda Civic Oriel 1.8 i-VTEC CVT 2020,5490000,Karachi,2020,55000,Petrol,Automatic,Karachi,Maroon,Local,1800,2024-05-04,High,Medium,Saturday,4
Suzuki Wagon R VXL 2018,2250000,Lahore,2018,135000,Petrol,Not Available,Lahore,Silky Silver,Local,1000,2024-05-04,Medium,High,Saturday,6
Honda City 1.3 i-VTEC 2013,2700000,Lahore,2013,119000,Petrol,Not Available,Lahore,Modern Steel Metallic,Local,1300,2024-05-04,Medium,High,Saturday,11
Mercedes Benz C Class C180 2007,2800000,Rawalpindi,2007,185000,Petrol,Automatic,Lahore,Blue,Imported,1800,2024-05-04,Medium,High,Saturday,17
ORA 03 400-Pro 2024,9040000,Lahore,2024,1,Not Available,Automatic,Un-Registered,Black,Local,1300,2024-05-04,High,Low,Saturday,0
Honda Vezel Hybrid Z Honda Sensing  2018,7650000,Islamabad,2018,63000,Petrol,Automatic,Un-Registered,Black,Imported,1500,2024-05-04,High,Medium,Saturday,6
Suzuki Cultus EURO II 2015,1590000,Karachi,2015,49000,Petrol,Not Available,Karachi,Silky Silver,Local,1000,2024-05-04,Low,Low,Saturday,9
Mitsubishi Pajero Evolution 1993,2475000,Rawalpindi,1993,244746,Petrol,Automatic,Karachi,Silver,Local,3500,2024-05-04,Medium,High,Saturday,31
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2013,3250000,Karachi,2013,68000,Petrol,Automatic,Karachi,Grey,Local,1800,2024-05-04,Medium,Medium,Saturday,11
Toyota Yaris ATIV CVT 1.3 2020,4100000,Karachi,2020,42000,Petrol,Automatic,Karachi,Super White,Local,1300,2024-05-04,High,Low,Saturday,4
Toyota Prius PHV (Plug In Hybrid) 2017,5480000,Karachi,2017,64282,Hybrid,Automatic,Sindh,White,Imported,1800,2024-05-04,High,Medium,Saturday,7
Toyota Corolla G L Package 1.5 2005,1380000,Lahore,2005,170,Petrol,Not Available,Lahore,Silver,Local,1500,2024-05-04,Low,Low,Saturday,19
Honda City 1.2L M/T 2021,4200000,Multan,2021,39000,Petrol,Not Available,Islamabad,White,Local,1200,2024-05-04,High,Low,Saturday,3
Honda City Aspire 1.5 i-VTEC 2014,2950000,Lahore,2014,87000,Petrol,Not Available,Lahore,Ralley Red,Local,1500,2024-05-04,Medium,Medium,Saturday,10
Honda City 1.2L CVT 2022,4525000,Lahore,2022,13400,Petrol,Automatic,Lahore,Taffeta White,Local,1200,2024-05-04,High,Low,Saturday,2
Toyota Corolla Altis Cruisetronic 1.8 2010,3125000,Islamabad,2010,147000,Petrol,Automatic,Islamabad,Silver,Local,1800,2024-05-04,Medium,High,Saturday,14
Toyota Corolla GLi Automatic Limited Edition 1.6 VVTi 2013,2750000,Gujranwala,2013,150000,Petrol,Automatic,Lahore,Black,Local,1600,2024-05-04,Medium,High,Saturday,11
Toyota Corolla 1988,900000,Karachi,2008,100000,Petrol,Not Available,Sindh,White,Local,1300,2024-05-04,Low,Medium,Saturday,16
Suzuki Alto VXR (CNG) 2009,1250000,Rawalpindi,2009,119000,Petrol,Not Available,Islamabad,White,Local,1000,2024-05-04,Low,High,Saturday,15
Toyota Corolla 1974,800000,Peshawar,2013,110000,Petrol,Not Available,Peshawar,Silver,Imported,1200,2024-05-04,Low,High,Saturday,11
Toyota Corolla XLi VVTi 2012,2390000,Gujranwala,2012,95000,Petrol,Not Available,Lahore,White,Local,1300,2024-05-04,Medium,Medium,Saturday,12
Toyota Corolla 2007,3800000,Islamabad,2007,125000,Petrol,Automatic,Islamabad,White,Imported,1500,2024-05-04,Medium,High,Saturday,17
Suzuki Mehran VXR Euro II 2017,1200000,Dadu,2017,55000,Petrol,Not Available,Badin,Silver,Local,800,2024-05-04,Low,Medium,Saturday,7
Toyota Passo X S  2020,4225000,Islamabad,2020,41000,Petrol,Automatic,Un-Registered,Silver,Imported,1000,2024-05-04,High,Low,Saturday,4
Honda City 1.3 i-VTEC Prosmatec 2018,3725000,Islamabad,2018,45000,Petrol,Automatic,Punjab,White,Local,1300,2024-05-04,Medium,Low,Saturday,6
ORA 03 400-Pro 2024,9040000,Lahore,2024,1,Not Available,Automatic,Un-Registered,White,Local,1300,2024-05-04,High,Low,Saturday,0
Toyota Prius G Touring Selection Leather Package 1.8 2015,4750000,Lahore,2015,120000,Hybrid,Automatic,Punjab,Black,Imported,1800,2024-05-04,High,High,Saturday,9
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2023,7525000,Lahore,2023,6500,Petrol,Automatic,Punjab,Silver Metallic,Local,1800,2024-05-04,High,Low,Saturday,1
Suzuki Every Wagon PZ Turbo 2019,3300000,Karachi,2019,73500,Petrol,Automatic,Un-Registered,White,Imported,660,2024-05-04,Medium,Medium,Saturday,5
Suzuki Alto L Upgrade 2022,3600000,Karachi,2022,7800,Petrol,Automatic,Un-Registered,White,Imported,660,2024-05-04,Medium,Low,Saturday,2
Nissan Leaf SL Plus 2021,8100000,Lahore,2021,18000,Not Available,Automatic,Un-Registered,Silver,Imported,1300,2024-05-04,High,Low,Saturday,3
Nissan Cefiro 2007,4300000,Islamabad,2007,106000,Petrol,Automatic,Sindh,White,Imported,2300,2024-05-04,High,High,Saturday,17
Toyota Fortuner GR-S 2023,21300000,Lahore,2023,10000,Diesel,Automatic,Islamabad,White,Local,2800,2024-05-04,High,Low,Saturday,1
Suzuki Alto VXR 2021,2325000,Karachi,2021,21000,Petrol,Not Available,Sindh,Solid White,Local,660,2024-05-04,Medium,Low,Saturday,3
Toyota Hiace TRH 214 2012,5500000,Dadyal ak,2012,125000,Petrol,Automatic,Lahore,Black,Imported,2700,2024-05-04,High,High,Saturday,12
Honda City 1.3 i-VTEC Prosmatec 2020,4050000,Lahore,2020,42754,Petrol,Automatic,Lahore,Lunar Silver Metallic,Local,1300,2024-05-04,High,Low,Saturday,4
Suzuki Alto VXL AGS 2020,2700000,Karachi,2020,52000,Petrol,Automatic,Karachi,Silky Silver,Local,660,2024-05-04,Medium,Medium,Saturday,4
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,6800000,Toba tek singh,2022,44000,Petrol,Automatic,Islamabad,Super White,Local,1800,2024-05-04,High,Low,Saturday,2
Honda Civic VTi Prosmatec 1.8 i-VTEC 2008,1950000,Rawalpindi,2008,254685,Petrol,Automatic,Islamabad,Black,Local,1800,2024-05-04,Low,High,Saturday,16
Suzuki Alto VXR 2009,990000,Lahore,2009,100000,Petrol,Not Available,Lahore,Indica,Local,1000,2024-05-04,Low,Medium,Saturday,15
Honda Civic Turbo 1.5 VTEC CVT 2017,5300000,Hyderabad,2017,57000,Petrol,Automatic,Sindh,Lunar Silver Metallic,Local,1500,2024-05-04,High,Medium,Saturday,7
Honda Civic VTi 1.8 i-VTEC 2008,1960000,Rawalpindi,2008,217000,Petrol,Not Available,Islamabad,White,Local,1800,2024-05-04,Low,High,Saturday,16
Toyota Corolla GLi Automatic 1.6 VVTi 2011,2350000,Abbottabad,2011,107560,Petrol,Automatic,Sindh,Silver,Local,1300,2024-05-04,Medium,High,Saturday,13
Toyota Corolla GL Saloon 1986,1900000,Karachi,1998,846824,Petrol,Automatic,Sindh,White,Local,1500,2024-05-04,Low,High,Saturday,26
BMW 7 Series 745Li 2005,6750000,Islamabad,2005,160000,Petrol,Automatic,Islamabad,White,Imported,4000,2024-05-04,High,High,Saturday,19
Suzuki Swift DX 1.3 2014,1700000,Hyderabad,2014,110000,Petrol,Not Available,Sindh,Gold,Local,1300,2024-05-04,Low,High,Saturday,10
Suzuki Alto VXR 2022,2430000,Karachi,2022,41000,Petrol,Not Available,Sindh,Silky Silver,Local,660,2024-05-04,Medium,Low,Saturday,2
Honda Civic EXi Automatic 1999,1200000,Rawalpindi,1999,300,Petrol,Automatic,Lahore,White,Local,1500,2024-05-04,Low,Low,Saturday,25
Honda HR-V VTi-S 2022,6680000,Karachi,2022,54000,Petrol,Automatic,Karachi,Teffeta White,Local,1500,2024-05-04,High,Medium,Saturday,2
Toyota Corolla Altis Automatic 1.6 2020,5350000,Faisalabad,2020,17000,Petrol,Automatic,Islamabad,Super White,Local,1600,2024-05-04,High,Low,Saturday,4
Honda Civic EXi 2005,1995000,Islamabad,2005,190000,Petrol,Not Available,Islamabad,Black,Local,1500,2024-05-04,Low,High,Saturday,19
Hyundai Tucson AWD A/T Ultimate 2020,7380000,Mirpur ak,2020,32000,Petrol,Automatic,Islamabad,Polar White,Local,2000,2024-05-04,High,Low,Saturday,4
Honda Vezel Hybrid Z 2019,7695000,Lahore,2019,69000,Hybrid,Automatic,Un-Registered,Black,Imported,1500,2024-05-04,High,Medium,Saturday,5
Toyota Land Cruiser ZX 2018,47000000,Lahore,2018,17000,Petrol,Automatic,Un-Registered,White,Imported,4600,2024-05-04,High,Low,Saturday,6
Toyota Yaris Hatchback 2021,4410000,Karachi,2021,78000,Petrol,Automatic,Un-Registered,White,Imported,1000,2024-05-04,High,Medium,Saturday,3
Toyota Yaris Hatchback 2021,4325000,Karachi,2021,89000,Petrol,Automatic,Un-Registered,Silver,Imported,1000,2024-05-04,High,Medium,Saturday,3
Honda Civic Oriel 1.8 i-VTEC CVT 2018,5255000,Islamabad,2018,114000,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,1800,2024-05-04,High,High,Saturday,6
Toyota Land Cruiser AX G Selection 2008,21500000,Lahore,2008,102000,Petrol,Automatic,Lahore,White,Imported,4600,2024-05-04,High,High,Saturday,16
Honda Vezel Hybrid X 2014,5100000,Islamabad,2014,70000,Hybrid,Automatic,Islamabad,Silver,Imported,1500,2024-05-04,High,Medium,Saturday,10
Toyota Corolla Altis X Automatic 1.6 2021,5150000,Karachi,2021,40000,Petrol,Automatic,Sindh,White,Local,1600,2024-05-04,High,Low,Saturday,3
Honda Civic Oriel 1.8 i-VTEC CVT 2016,4750000,Multan,2016,108000,Petrol,Automatic,Islamabad,White,Local,1800,2024-05-04,High,High,Saturday,8
Suzuki Swift GL CVT 2022,4150000,Karachi,2022,25000,Petrol,Automatic,Sindh,Solid White,Local,1240,2024-05-04,High,Low,Saturday,2
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,6850000,Karachi,2022,41000,Petrol,Automatic,Sindh,Attitude Black,Local,1800,2024-05-03,High,Low,Friday,2
Toyota Corolla XLi VVTi 2014,2970000,Islamabad,2014,190000,Petrol,Not Available,Lahore,Black,Local,1300,2024-05-04,Medium,High,Saturday,10
Mercedes Benz C Class C180 2006,3800000,Lahore,2006,157355,Petrol,Automatic,Lahore,Iridium Silver,Local,1800,2024-05-04,Medium,High,Saturday,18
Hyundai Santro Club GV 2008,1275000,Lahore,2008,151,Petrol,Not Available,Lahore,Blue,Local,1100,2024-05-04,Low,Low,Saturday,16
Toyota Corolla 1998,2150000,Islamabad,1998,123,Petrol,Automatic,Islamabad,Silver,Imported,1500,2024-05-04,Low,Low,Saturday,26
Toyota Corolla GLi 1.3 VVTi 2017,3800000,Lahore,2017,79984,Petrol,Not Available,Punjab,White,Local,1300,2024-05-04,Medium,Medium,Saturday,7
Suzuki Mehran VX (CNG) 2008,600000,Lahore,2008,100000,Not Available,Not Available,Lahore,Blue,Local,800,2024-05-04,Low,Medium,Saturday,16
Suzuki Margalla GL Plus 1998,1325000,Rawalpindi,1998,81000,Petrol,Not Available,Islamabad,White,Local,1300,2024-05-04,Low,Medium,Saturday,26
Toyota Aqua S 2012,3300000,Karachi,2012,150,Hybrid,Automatic,Karachi,Grey,Imported,1500,2024-05-04,Medium,Low,Saturday,12
Suzuki Mehran VXR (CNG) 2005,730000,Rawalpindi,2005,106000,Petrol,Not Available,Islamabad,White,Local,800,2024-05-04,Low,High,Saturday,19
Toyota Surf SSR-G 3.0D 1989,2350000,Lahore,2010,50000,Diesel,Automatic,Lahore,Red,Imported,3000,2024-05-04,Medium,Low,Saturday,14
Toyota Vitz F 1.0 2018,3550000,Karachi,2018,90000,Petrol,Automatic,Sindh,Blue Metallic,Imported,996,2024-05-04,Medium,Medium,Saturday,6
Honda HR-V VTi-S 2022,7225000,Islamabad,2022,12500,Petrol,Automatic,Islamabad,Grey,Local,1500,2024-05-04,High,Low,Saturday,2
Honda Civic 1.8 i-VTEC CVT 2021,6600000,Islamabad,2021,27000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,2024-05-04,High,Low,Saturday,3
Honda City i-DSI 2006,1385000,Sialkot,2006,200000,Petrol,Not Available,Lahore,Crystal Black,Local,1300,2024-05-04,Low,High,Saturday,18
Suzuki Alto VXR 2022,2465000,Karachi,2022,21300,Petrol,Not Available,Sindh,White,Local,660,2024-05-03,Medium,Low,Friday,2
Honda Civic VTi Oriel 1.8 i-VTEC 2009,2300000,Lahore,2009,174000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,2024-05-03,Medium,High,Friday,15
Porsche Taycan 2022,36900000,Lahore,2022,9000,Not Available,Automatic,Un-Registered,Black,Imported,1300,2024-05-03,High,Low,Friday,2
Toyota Prado TX L Package 2.7 2019,26600000,Lahore,2019,19000,Petrol,Automatic,Un-Registered,Black,Imported,2700,2024-05-03,High,Low,Friday,5
KIA Picanto 1.0 MT 2020,2500000,Lahore,2020,93000,Petrol,Not Available,Islamabad,Beige,Local,1000,2024-05-03,Medium,Medium,Friday,4
Toyota Aqua S 2013,3750000,Islamabad,2013,210000,Hybrid,Automatic,Lahore,Grey,Imported,1500,2024-05-03,Medium,High,Friday,11
Toyota Land Cruiser ZX 2011,24200000,Lahore,2011,89000,Petrol,Automatic,Punjab,Black,Imported,4600,2024-05-03,High,Medium,Friday,13
Toyota Prado TX 2.7 2007,7550000,Karachi,2007,99000,Petrol,Automatic,Sindh,Crystal Pearl,Imported,2700,2024-05-03,High,Medium,Friday,17
Honda Civic VTi Oriel 1.6 2005,1590000,Islamabad,2005,170000,Petrol,Not Available,Lahore,Grey,Local,1600,2024-05-03,Low,High,Friday,19
Honda Civic 1.5 RS Turbo 2021,7550000,Islamabad,2021,14800,Petrol,Automatic,Karachi,Crystal Black Pearl,Local,1500,2024-05-03,High,Low,Friday,3
KIA Sorento 3.5 FWD 2021,8190000,Islamabad,2021,62132,Petrol,Automatic,Islamabad,Rich Espresso,Local,3500,2024-05-03,High,Medium,Friday,3
Suzuki Alto VXR 2012,1200000,Multan,2012,60000,Petrol,Not Available,Punjab,Solid White,Local,1000,2024-05-04,Low,Medium,Saturday,12
Honda City 1.2L M/T 2022,4450000,Gujranwala,2022,1800,Petrol,Not Available,Punjab,Taffeta White,Local,1200,2024-05-04,High,Low,Saturday,2
Toyota Vitz B S Edition 1.0 2009,2450000,Islamabad,2009,96582,Petrol,Automatic,Lahore,White,Imported,1000,2024-05-04,Medium,Medium,Saturday,15
BMW 5 Series 530i 2003,2870000,Peshawar,2003,123000,Petrol,Automatic,Karachi,White,Imported,3000,2024-05-04,Medium,High,Saturday,21
Nissan Clipper DX 2014,1820000,Karachi,2014,136000,Petrol,Automatic,Karachi,Silver,Imported,660,2024-05-04,Low,High,Saturday,10
Daihatsu Mira G SA III 2021,4100000,Karachi,2021,9000,Petrol,Automatic,Un-Registered,Black,Imported,660,2024-05-04,High,Low,Saturday,3
Suzuki MR Wagon G 2015,1825000,Gujrat,2015,100000,Petrol,Automatic,Lahore,Pearl Metallic Cashmere Blue,Imported,660,2024-05-04,Low,Medium,Saturday,9
Suzuki FX GA 1983,390000,Lahore,2006,100000,Petrol,Not Available,Lahore,Orange,Local,800,2024-05-04,Low,Medium,Saturday,18
Honda N Wgn G 2023,3985000,Lahore,2023,3000,Petrol,Automatic,Un-Registered,Green,Imported,660,2024-05-04,Medium,Low,Saturday,1
Toyota Corolla Altis Automatic 1.6 2020,5100000,Gujrat,2020,110000,Petrol,Automatic,Islamabad,Super White,Local,1600,2024-05-04,High,High,Saturday,4
Honda Vezel Hybrid Z 2016,5200000,Lahore,2016,130000,Hybrid,Automatic,Islamabad,Blue,Imported,1500,2024-05-04,High,High,Saturday,8
Toyota Aqua S 2017,5250000,Karachi,2017,85000,Hybrid,Automatic,Sindh,Silver,Imported,1500,2024-05-04,High,Medium,Saturday,7
Honda Civic Turbo 1.5 VTEC CVT 2016,5300000,Lahore,2016,56552,Petrol,Automatic,Lahore,White,Local,1500,2024-05-04,High,Medium,Saturday,8
Daihatsu Move Custom X 2017,2350000,Gujranwala,2017,114000,Petrol,Automatic,Lahore,Maroon,Imported,660,2024-05-04,Medium,High,Saturday,7
Honda Civic VTi Oriel 1.8 i-VTEC 2009,2200000,Narowal,2009,88000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,2024-05-04,Low,Medium,Saturday,15
Lexus CT200h Version L 2011,5300000,Islamabad,2011,151000,Hybrid,Automatic,Islamabad,Silver,Imported,1800,2024-05-04,High,High,Saturday,13
Mercedes Benz EQS 2023,0,Lahore,2023,10,Not Available,Automatic,Un-Registered,White,Imported,1300,2024-05-03,Low,Low,Friday,1
Toyota Yaris 2020,4600000,Islamabad,2020,49000,Petrol,Automatic,Un-Registered,White,Imported,1000,2024-05-03,High,Low,Friday,4
Toyota C-HR G-LED 2019,0,Lahore,2019,48000,Hybrid,Automatic,Un-Registered,White Pearl,Imported,1800,2024-05-03,Low,Low,Friday,5
Toyota Land Cruiser ZX Gasoline 3.5L 2023,82000000,Lahore,2023,20,Petrol,Automatic,Un-Registered,Attitude Metallic,Local,3500,2024-05-03,High,Low,Friday,1
Suzuki Wagon R VXL 2024,3325000,Lahore,2022,17000,Petrol,Not Available,Islamabad,Solid White,Local,1000,2024-05-03,Medium,Low,Friday,2
Toyota Fortuner 2.7 G 2023,15000000,Lahore,2023,10,Petrol,Automatic,Un-Registered,White,Local,2700,2024-05-03,High,Low,Friday,1
Toyota Camry Hybrid 2014,8450000,Islamabad,2014,113000,Hybrid,Automatic,Islamabad,Black Sand Pearl,Imported,2500,2024-05-03,High,High,Friday,10
Toyota Vitz F 1.0 2010,2290000,Lahore,2010,130000,Petrol,Automatic,Lahore,Black Sand Pearl,Imported,1000,2024-05-03,Medium,High,Friday,14
Toyota Prado TX 2.8 D AT 2018,28500000,Lahore,2018,52000,Diesel,Automatic,Un-Registered,Superior White,Local,2755,2024-05-03,High,Medium,Friday,6
Honda Civic Oriel 2024,8719000,Lahore,2024,10,Petrol,Automatic,Un-Registered,White,Local,1500,2024-05-03,High,Low,Friday,0
Honda Civic RS 2024,9959000,Lahore,2024,10,Petrol,Automatic,Un-Registered,White,Local,1500,2024-05-03,High,Low,Friday,0
Toyota Vitz F Safety Edition III 2018,3675000,Karachi,2018,80000,Petrol,Automatic,Sindh,Grey,Imported,1300,2024-05-04,Medium,Medium,Saturday,6
Toyota Corolla Altis Automatic 1.6 2016,4150000,Swabi,2016,97000,Petrol,Automatic,Islamabad,Bronze,Local,1600,2024-05-04,High,Medium,Saturday,8
Suzuki Alto VXL AGS 2023,3100000,Sialkot,2023,7500,Petrol,Automatic,Punjab,Solid White,Local,660,2024-05-04,Medium,Low,Saturday,1
Toyota Corolla GL 2002,1175000,Karachi,2002,280000,Petrol,Not Available,Sindh,Silver Metallic,Local,1300,2024-05-04,Low,High,Saturday,22
Suzuki Alto L 2020,3320000,Rawalpindi,2020,7500,Petrol,Automatic,Un-Registered,Beige,Imported,660,2024-05-04,Medium,Low,Saturday,4
Honda Civic VTi Prosmatec 1.8 i-VTEC 2006,3100000,Islamabad,2006,240000,Petrol,Automatic,Islamabad,Silver,Imported,1800,2024-05-04,Medium,High,Saturday,18
Honda Civic Oriel 1.8 i-VTEC CVT 2021,6600000,Lahore,2021,12000,Petrol,Automatic,Punjab,White,Local,1800,2024-05-04,High,Low,Saturday,3
Honda Civic VTi 1.8 i-VTEC 2008,2150000,Lahore,2008,230000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,2024-05-04,Low,High,Saturday,16
Honda Vezel Hybrid Z 2016,5900000,Islamabad,2016,140000,Hybrid,Automatic,Lahore,White,Imported,1500,2024-05-04,High,High,Saturday,8
Toyota Prius 2012,4575000,Lahore,2012,145123,Hybrid,Automatic,Lahore,White,Imported,1800,2024-05-04,High,High,Saturday,12
Suzuki Cultus Limited Edition 2014,1500000,Lahore,2014,90000,Petrol,Not Available,Lahore,Grey,Local,1000,2024-05-04,Low,Medium,Saturday,10
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2014,3450000,Bhalwal,2014,155000,Petrol,Automatic,Islamabad,Gun Matlic,Local,1800,2024-05-04,Medium,High,Saturday,10
Toyota Fortuner GR-S 2024,21700000,Lahore,2024,10,Diesel,Automatic,Un-Registered,Black,Local,2800,2024-05-03,High,Low,Friday,0
Toyota Fortuner 2.8 Sigma 4 2020,14000000,Rawalpindi,2020,37000,Diesel,Automatic,Islamabad,Super White,Local,2800,2024-05-03,High,Low,Friday,4
Toyota Corolla Cross 1.8 HEV X 2024,0,Lahore,2024,8,Hybrid,Automatic,Un-Registered,Platinum White Pearl,Local,1798,2024-05-03,Low,Low,Friday,0
Toyota Corolla 2018,8600000,Peshawar,2018,31000,Petrol,Automatic,Un-Registered,Beige,Imported,1500,2024-05-03,High,Low,Friday,6
Audi A4 1.8 TFSI 2011,6300000,Karachi,2011,63000,Petrol,Automatic,Karachi,Black,Imported,1800,2024-05-03,High,Medium,Friday,13
Honda N Wgn G 2021,3449000,Gujranwala,2021,55000,Petrol,Automatic,Un-Registered,Blue,Imported,660,2024-05-03,Medium,Medium,Friday,3
Honda City 1.3 i-VTEC 2010,2550000,Islamabad,2010,117700,Petrol,Not Available,Islamabad,Silver,Local,1300,2024-05-03,Medium,High,Friday,14
Honda Civic Oriel 1.8 i-VTEC CVT 2022,7200000,Islamabad,2022,15500,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,2024-05-03,High,Low,Friday,2
KIA Sportage AWD 2020,7150000,Rawalpindi,2020,69000,Petrol,Automatic,Islamabad,White,Local,2000,2024-05-03,High,Medium,Friday,4
Nissan Dayz Highway star X 2021,3700000,Islamabad,2021,30111,Petrol,Automatic,Islamabad,White,Imported,660,2024-05-03,Medium,Low,Friday,3
